customer_name,phone,amount,due_date,invoice_number
"Acme Corporation","+15551234567","4200.00","2026-01-15","INV-2026-0042"
"Beta Industries","+15552345678","1850.50","2026-01-12","INV-2026-0038"
"Gamma LLC","+15553456789","7500.00","2026-01-10","INV-2026-0035"
"Delta Services","+15554567890","2300.00","2026-01-08","INV-2026-0031"
"Epsilon Inc","+15555678901","950.00","2026-01-05","INV-2026-0028"
"Zeta Corp","+15556789012","3400.00","2026-01-03","INV-2026-0025"
"Eta Holdings","+15557890123","5600.00","2025-12-28","INV-2025-0412"
"Theta Group","+15558901234","1200.00","2025-12-20","INV-2025-0398"
"Iota Partners","+15559012345","8900.00","2025-12-15","INV-2025-0385"
"Kappa Ventures","+15550123456","2750.00","2025-12-10","INV-2025-0372"
